id,Name,Cost,Currency,Weight,Description,Image
DYG18TH2O1B3DXML,Abacus,2,gp,2,Used for counting and keeping track of numbers.  Halves any time spent doing math.,icons/tools/scribal/pen-steel-grey-brown.webp
3KV4S1X801JG69S0,"Ball Bearings (bag of 1,000)",1,gp,2,Tiny metal balls that can be spilled across an area of a 10ft square as an action.  Creatures that move in the area must succeed on a DC 10 Dexterity (Save) check or fall prone.  A creature moving at half speed automatically succeeds this save check.,icons/commodities/tech/bearing-steel-green.webp
VL8VMA950A7U4B64,Bedroll,1,gp,7,Rolled out and used to sleep within.  Allows a creature to sleep soundly on the ground.  ,icons/sundries/survival/bedroll-grey.webp
70BP4EBPW1LA5ZBO,Bell,1,gp,0,Rings clear and with perfect tone when shaken.  Gives disadvantage to Dexterity (Stealth) checks while not stowed.,icons/tools/instruments/bell-brass-brown.webp
VU5HQJGSE1W56WSE,Blanket,5,sp,3,A comfortable blanket to wrap around or lay over a creature to give some amount of warmth.,icons/commodities/cloth/cloth-roll-tan.webp
V3UNW6GSBC3K5SCJ,Empty Book,5,gp,5,"An empty book of 20 pages, just waiting to be filled.",icons/sundries/books/book-plain-orange.webp
2X4O4QMWO18GTVQW,Book,25,gp,5,May contain all sorts of information depending on the book’s contents.  Reading a specialized book grants advantage on harmless rolls related to the subject for 1d4 days afterward.  The reader cannot gain this advantage again until a month has passed since the book’s completion.,icons/sundries/books/book-backed-wood-tan.webp
3XMI6PIA33QWNHXV,Boot Tips,5,sp,1,"Metal boot tips that can be strapped or nailed to one’s shoes to assist with climbing.  With boot tips, you have a +1 to climbing checks.",icons/equipment/feet/boots-collared-leather-brown.webp
MG4SALOHXG2Q5SF9,Caltrops (bag of 20),1,gp,2,"Small spikes that can be spread across a 5ft square area as an action.  When creatures move through this area, they start bleeding.  One bag worth of caltrops can be stepped on up to four times before the caltrops are rendered unusable.",icons/environment/traps/metal-spikes.webp
M51F9RMIENUU7RHH,Candle,1,cp,0,"Lasts for 1 hour once lit.  Candles shed bright light in a 5ft radius, and dim light for an additional 5ft.",icons/sundries/lights/candle-unlit-grey.webp
SFXHJWK03FEQVHJT,Censer,1,gp,1,A censer used to burn incense.,icons/sundries/lights/lantern-iron-yellow.webp
0446N1GGYU0PFWOH,Chain (10ft),5,gp,10,"A simple iron chain.  Has 10 Hit Points, or can be broken with a DC 20 Strength check.",icons/tools/fasteners/chain-steel-grey.webp
K48XT37F5817E5AP,Chalk (1 piece),1,cp,0,Used for leaving temporary drawings on rough surfaces.,icons/commodities/stone/rock-chunk-pumice-white.webp
YT521W4STH2LPU6I,Climbing Harness,5,gp,2,"When used with rope, you cannot fall or climb more than 25ft. from the point where you anchored yourself to the rope without undoing the anchor.",icons/sundries/survival/leather-strap-brown.webp
5L6UTBVNPCM4STUL,Common Clothes,5,sp,3,"The clothing that you would find on the average peasant.  Normally consists of a shirt, pants, a belt, and foot coverings of some type.",icons/equipment/chest/shirt-collared-brown.webp
5G2UAJCNYN6QNHDD,Fine Clothes,15,gp,6,"Clothing that you would find on a noble, merchant, or a person with a decent amount wealth.  Normally made out of finer, more expensive materials, and consist of more colorful garb than common clothes.",icons/equipment/chest/coat-collared-red-gold.webp
