id,origin,oname,name,type,requirements,summary,description
97LLYYBHCBZ9CZPQ,Basic,Basic,Recover From Exhaustion,long,"Food, Drink",Remove a level of the Exhausted condition.,"<p>During a long rest in which you consume food and drink, you can use a <strong>long rest action</strong> to reduce your @Compendium[undertaking.conditions.ERBR3AG01H4N1L91]{Exhaustion} by 1 level. </p> "
4KLVEXDPVV4IU6VP,Basic,Basic,Identify Magic Item,long,None,Attempt to discern the effects of a possible magic item.,"<p>In the realm of magic items there are those that are nearly identical to their non-magical twins, and others that put their magic properties on display for the world. There are times that magic items have hints as to what their magical properties might be on them. Some might have telling markings or engravings, glow or even have a command word listed on its body. Magical properties can even manifest physical ways, such as a feeling of connection or dread while holding it.</p><p>Wearing or experimenting with a magic item can be a useful way of figuring out what a magic item is capable of, so long as the item does not require attunement, though this method can take a good bit longer. If a character is unable to determine if an item is magical, they can still attempt to attune to it. However, they do not know if they successfully attuned, and are not given any information on what the item does or the effects it has without further experimentation or full identification.</p><p>However, many magical items are indistinguishable from non-magical items. If the item is suspected of being a magic item, the creature can attempt to identify it.</p><p>The fastest way to figure out how a magic item works is through casting <em>Identify. </em>However, a character can attempt to identify the magical properties of one item as a <strong>long rest action</strong>. At the end of the rest, the character learns if the item is magical, and makes an Intelligence (Arcana) check (or a Wisdom (Theology) check if more religious than arcane) if so. The item&rsquo;s rarity determines the DC as seen below.</p><p><em>Magic Item Identification Table</em></p><table><tbody><tr><td><p><strong>Rarity</strong></p></td><td><p><strong>Identification DC</strong></p></td></tr><tr><td><p>Common</p></td><td><p>DC 10</p></td></tr><tr><td><p>Uncommon</p></td><td><p>DC 15</p></td></tr><tr><td><p>Rare</p></td><td><p>DC 20</p></td></tr><tr><td><p>Very Rare</p></td><td><p>DC 25</p></td></tr><tr><td><p>Legendary</p></td><td><p>DC 30</p></td></tr><tr><td><p>Artifact</p></td><td><p>Impossible</p></td></tr></tbody></table><p>Upon succeeding the identification check, the character learns all magical aspects of the magic item, including its name, how to use it, any activation words, if it requires attunement, and so on. They can also attune to the item as part of this process.</p><p>Upon failure, the identification fails and the item remains a mystery. The character may reattempt the identification on their next long rest.</p>"
492BI947VGRFOXMQ,Basic,Basic,Prepare Meal,short,"Cooking Kit, Supplies",Prepare a meal for a small group and bolster their spirits.,"<p>As a <em>Rest Action</em>, Provided you have access to sufficient supplies, you can prepare a meal or drinks. Up to three people, including yourself, can have a serving during a rest to gain 1d4 temporary hit points.</p>"
F6FJX0KSFSHJQWAL,Trade,Vehicle,Repair Vehicle,short,Spare Parts,Restore hit points to a damaged vehicle.,"<p>As a <em>Rest Action</em>, make an Intelligence (Craft) check. Restore the vehicle&rsquo;s hit points by the result, so long as you have the parts.</p>"
S2UMN9AG35OUHHFN,Trade,Vehicle,Tune-Up,long,Varies,Prepare a vehicle to endure wear or hostile conditions.,"<p>As a <em>Long Rest Action</em>, you can tune up a vehicle to give one of the following benefits. Should the vehicle take any damage, be used to travel for a cumulative full day, or travel over rough terrain for half the length, the benefit is removed.</p><ul><li><em>Lubricate: </em>Increase movement speed of vehicle by &frac14; rounded up to the nearest 5 feet. In addition, reduce travel time by 1 day per 6 days of travel.</li><li><em>Reinforce: </em>Increase the vehicle&rsquo;s durability. Make an Intelligence (Craft) check, giving the vehicle temporary hit points equal to the result.</li><li><em>Weather Proof: </em>Increase the vehicle&rsquo;s resilience to one type of intense weather. Vehicles can add your Intelligence (Craft) modifier to checks relating to the vehicle avoiding the detriments of the weather.</li><li><em>Terrain Match: </em>Prepare a vehicle for particularly intense weather, so long as you have fitting parts. Vehicles can add your Intelligence (Craft) modifier to checks relating to the vehicle traveling across rough terrain.</li></ul>"
3EUA1FH4J2A5SW7K,Trade,Alchemy,Create Potion Base,long,"Alchemy Kit, Distilled Water","Prepare a vial of potion base, useful for further brewing.","<p>As a <em>Long Rest Action</em>, you can turn a vial of Distilled Water into a Potion Base using your Alchemy Kit and a few base chemicals that come with it.</p>"
0XAXEBW2HK3AQK1Z,Trade,Alchemy,Brew Healing Potion,long,"Alchemy Kit, Potion Base, Herb, Creature Part",Attempt to brew a healing potion from various ingredients.,"<ul><li>As a <em>Long Rest Action</em>, you can attempt to combine a vial of Potion Base and combine it with any herbal ingredient and creature part to make one vial of Healing Potion. When you do so, roll an Intelligence (Craft) check. On success, the potion is made with both effects.&nbsp;</li><ul><li>The rarity of the herbal ingredient determines the DC, as shown in the <em>Healing Potion Brewing DC</em> table.</li><li>The rarity of the creature part determines the potency of the potion, as shown in the <em>Potion Potency</em> table.</li><li>Healing Potions are always instantaneous and single-usage.</li></ul></ul><p><em>Healing Potion Brewing DC</em></p><table><tbody><tr><td><p><strong>Ingredient</strong></p></td><td><p>Common Herb</p></td><td><p>Uncommon Herb</p></td><td><p>Rare Herb</p></td></tr><tr><td><p><strong>Brewing DC</strong></p></td><td><p>DC 16</p></td><td><p>DC 11</p></td><td><p>DC 6</p></td></tr></tbody></table><p><em>Potion Potency</em></p><table><tbody><tr><td><p><strong>Creature Part CR</strong></p></td><td><p><strong>CR 0-4</strong></p></td><td><p><strong>CR 5-9</strong></p></td><td><p><strong>CR 10-15</strong></p></td><td><p><strong>CR 15-20</strong></p></td><td><p><strong>CR 20+</strong></p></td></tr><tr><td><p><strong>Duration</strong></p></td><td><p>6 seconds</p></td><td><p>1 minute</p></td><td><p>1 hour</p></td><td><p>8 hours</p></td><td><p>Indefinite</p></td></tr><tr><td><p><strong>Potency</strong></p></td><td><p>1d4+1</p></td><td><p>2d4+2</p></td><td><p>4d4+4</p></td><td><p>8d4+8</p></td><td><p>10d4+20</p></td></tr></tbody></table>"
JDQRCQBU8PHIYN0E,Trade,Alchemy,Brew Advanced Potion,long,"Alchemy Kit, Potion Base, Herb, Creature Part",Attempt to brew a potion with unique effects based on its ingredients.,"<p>As a <em>Long Rest Action</em>, you can take a vial of Potion Base, an herbal ingredient, and a creature part, and turn it into a full potion. This process includes preparing the ingredients and mixing them into the Potion Base before leaving it to sit and combine, with occasional stirring, over the full length of the rest. The result is a single-use potion with an effect provided by the ingredients used. When you do so, roll an Intelligence (Craft) check of DC 10. On success, the potion is made with both effects. On failure, the potion is made, but the monster part effect is not applied and is lost.</p><ul><li><em>Herbal Ingredient</em><em>:</em> Herbal ingredients differ in effect per biome collected in. Within each biome are Common, Uncommon, and Rare varieties, each with unique base effects. Unless specified otherwise, herbs are assumed to fall into these categories. See the @Compendium[undertaking.tables.5R8FKYXDXRVWMOQD]{Ingredients - Herbs} table for effects per herbal biome and rarity.<ul><li>When a creature is afflicted by a potion with a negative effect, that creature can make a Constitution (Save) check against the potion&rsquo;s DC, as determined by its rarity on the Potion Potency table. On a successful save, the creature is unaffected.</li><li>Unless specified otherwise, markets located in or adjacent to certain biomes tend to have good access to common herbs. Uncommon herbs may be found, but often at a price. Rare herbs almost always need to be found manually or at an excessive premium. The further from a biome, the more the price multiplies.</li></ul></li><li><em>Creature Part</em><em>:</em> Creature parts are based on the Creature Type and Challenge Rating of the creature the part came from. The former determines the effects of the potion as listed in the @Compendium[undertaking.tables.01V3FGYMA3LZKZ1N]{Potion Ingredients - Creature Parts} table. The latter determines the potency of the potion as listed in the Potion Potency table.&nbsp;</li><li><em>Imbibing Speed:</em> The viscosity of potions can vary, some potions taking a Minor Action, and some requiring a full Action, as listed in the @Compendium[undertaking.tables.5R8FKYXDXRVWMOQD]{Ingredients - Herbs} table.</li></ul><p><em>Potion Potency</em></p><table><tbody><tr><td><p><strong>Creature Part CR</strong></p></td><td><p><strong>CR 0-4</strong></p></td><td><p><strong>CR 5-9</strong></p></td><td><p><strong>CR 10-15</strong></p></td><td><p><strong>CR 15-20</strong></p></td><td><p><strong>CR 20+</strong></p></td></tr><tr><td><p><strong>Duration</strong></p></td><td><p>6 seconds</p></td><td><p>1 minute</p></td><td><p>1 hour</p></td><td><p>8 hours</p></td><td><p>Indefinite</p></td></tr><tr><td><p><strong>Potency</strong></p></td><td><p>1d4+1</p></td><td><p>2d4+2</p></td><td><p>4d4+4</p></td><td><p>8d4+8</p></td><td><p>10d4+20</p></td></tr></tbody></table>"
N587VA8S965FW285,Trade,Art,Create Art,short,"Art Kit, Art Supplies worth at least 1gp",Create a new work of art that falls within your specialization.,"<p>As a <em>Rest Action</em>, you can create one piece of art no larger than 5 square feet that you could reasonably create with your specialization. The first rest you spend creating the work of art, make an Intelligence (Craft) check. The result of the check is its initial @Compendium[undertaking.tables.SVAINSJV86RZ4629]{Art Quality} level, which determines the base selling price of the art piece. The initial creation of an art piece takes up 5gp worth of supplies.</p><ul><li>You can attempt to make an art piece with less than 5gp worth of supplies for a -1 to your Intelligence (Craft) checks, and a further -1 for each 5sp less than 5gp, to a minimum of 1gp. For example, using supplies worth a bit more than 2gp will confer a -6 on your Intelligence (Craft) check.</li></ul>"
2A7XYTD7US4CSG5D,Trade,Art,Refine Art,short,"Art Kit, Art Supplies worth 5gp (optional)",Refine an existing work of art that falls within your specialization.,"<p>As a <em>Rest Action</em>, you can refine one piece of art that you could reasonably create with your specialization. You can refine a piece of art over the course of multiple rests, but an art piece can only be refined up to 5 times total. Each refinement costs an additional 5gp worth of art supplies. Each time you attempt to refine a piece of art, reduce the quality level by 10, and then make an Intelligence (Craft) check and add it to the @Compendium[undertaking.tables.SVAINSJV86RZ4629]{Art Quality} level. Based on the resulting quality level, the price of the art further increases.</p><ul><li><em>Fine Art: </em>Art over a certain quality level is considered <em>Fine Art</em>. A creature of intelligence 6 or higher may gain a one-time benefit upon spending 1 minute observing the piece for the first time. Receiving the effect from a Fine Art piece gives you the option to take the effect of a lower quality piece as well. A creature cannot receive the bonus from more than one Fine Art piece at once.</li><li>You can attempt to refine an art piece with less than 5gp worth of supplies for a -1 to your Intelligence (Craft) checks, and a further -1 for each 5sp less than 5gp. For example, using supplies worth a bit more than 2gp will confer a -6 on your Intelligence (Craft) check.</li></ul>"
48ZTOVZEVCO8OA50,Trade,Artisan,Craft Artisanal,short,"Artisan Kit, Materials",Create or continue working on an item related to your specialization.,"<p>You can create one non-magical object, item, or piece of clothing that you could reasonably build with your specialization. So long as you have relevant materials equal to &frac34; of the item&rsquo;s cost, you can work on creating the item over the course of multiple rests. Each <em>Rest Action</em> you spend working on it, make an Intelligence (Craft) check against DC 10. Each success counts as 1 completed work session, a failure does not. Depending on the item&rsquo;s actual cost, it takes more work sessions to complete (see @Compendium[undertaking.tables.WS5UX4KFBB0PAZAE]{Craft Artisanal} table).</p>"
MI0J193A4COTVOF3,Trade,Artisan,Repair Artisanal,short,"Artisan Kit, Materials",Repair a fully or partially broken item related to your specialization.,"<p>So long as it is something you could build with your specialization, you can repair a fully broken object or item at &frac12; the material cost in &frac12; the sessions using the&nbsp;@Compendium[undertaking.tables.WS5UX4KFBB0PAZAE]{Craft Artisanal} table. Partially damaged objects require fewer parts and less time to repair, ask your GM for the difficulty and cost of a partial repair. Intelligence (Craft) checks to repair parts have a DC of 12.</p>"
1IV3TY01UM57AGSV,Trade,Artisan,Modify Artisanal,short,"Artisan Kit, Materials",Improve the value of an item related to your specialization.,"<p>As a <em>Rest Action</em>, you can modify one non-magical object, item, structure, or piece of clothing in a way that you could reasonably do with your specialization, or else painting, dying, trimming, or smoothing it. When you do so, make an Intelligence (Craft) check. If half the result is higher than the gold cost of the materials added to the object, you succeed. If not, you may continue adding to your roll with each subsequent attempt until you have met the gold cost of the object. On success, apply the modification and increase the selling price of the item by 1.5 times the external materials used or applied as part of the process. The price of the object cannot more than double the price of either the applied materials or object.</p>"
