id,Name,Cost,Currency,Weight,Description,Image
8GCSWHROZUJQOKZR,Alchemy Kit,50,gp,8,"Alchemy is the capability to transform base materials into precious potions.  Collect materials, make potion bases, and turn those into potions that can heal and improve your allies, or hurt your enemies.  Very high complexity.",icons/tools/laboratory/alembic-glass-ball-blue.webp
FE8ZCSBLXZD50D4E,Art Kit,10,gp,5,"Covering non-performance arts, such as painting, sculpting, clayworking, woodcarving, engraving, dance, drawing, opera, ballet, calligraphy, or writing.  Artists spend rests creating and refining works of art that give one-time bonuses or can be sold for a high price.  Medium complexity.",icons/tools/hand/brush-paint-pink.webp
LPQUQ80HTS1QQFRB,Artisan Kit,30,gp,2,"Covering medium-sized artisanry like leatherworking, bookbinding, cobbling, weaving, glassblowing, ceramics, woodcarving, furring, ropemaking, dying, hatting, and so on.  Artisans can craft, repair, and modify items relevant to their specialization.  Simple complexity.",icons/commodities/leather/leather-worn-tan.webp
M8FNH0YQ2LE2ZFX4,Botany Kit,20,gp,3,"Botanists forage, gather, and apply herbs and medicines to targets directly with delayed effects.  Not effective in dangerous moments, but greatly so before and after.  High complexity.",icons/tools/cooking/mortar-herbs-yellow.webp
9YBVQA8VWQ255QLS,Building Kit,10,gp,6,"Builders can create structures, buildings, and fortifications, over rests, creating or destroying long-lasting structures at their will.  Low complexity.",icons/skills/trades/construction-carpentry-hammer.webp
GJM0RMS60GY1X423,Cooking Kit,20,gp,8,"Cooks prepare meals and drinks for their party to keep them full and happy, giving bonuses over rests.  They can attempt to brew alcohol over long rests that can give bonuses to a rest based on how well it is brewed.",icons/tools/cooking/bowl-steaming-brown.webp
R137NV7U0IJFS38B,Entertainment Kit,25,gp,5,"Covering performance trades, such as dance, theatre, gaming, musical instruments, singing, puppetry, comedy, and street magic.  Entertainers enrapture crowds, controlling public perception of situations and playing off other people’s expectations to draw in attention and to clear people’s heads.",icons/tools/instruments/lute-gold-brown.webp
SGYR45WRCKK2UR47,Pathfinding Kit,25,gp,6,"Pathfinders map and explore environments, finding safe paths through them and better understanding the environment around them.",icons/tools/navigation/map-chart-tan.webp
W3NC0UVCJYW1CCGM,Smithing Kit,20,gp,8,"Smiths, which can be specialized as armorers, blacksmith, bladesmith, or gunsmith (if applicable to the campaign), can spend rests forging metal into arms and armor, as well as upkeep their weapons.",icons/skills/trades/smithing-tongs-metal-red.webp
8RRVDG3OJMU71FXS,Subterfuge Kit,25,gp,3,"Those capable in the subterfuge trade can create disguises, mimic voices and behaviors, hide hidden messages, and create forgeries.",icons/equipment/head/hood-leather-orange-mask.webp
CSP5SSMV6PCZ76DO,Thievery Kit,25,gp,1,"Professional thieves are capable in misdirection and theft of all sorts, including lockpicking, pick pocketing, and setting and disarming traps.",icons/tools/hand/lockpicks-steel-grey.webp
L9HHJPJ48CPSV7CS,Tinkering Kit,40,gp,10,"Tinkerers can create minor trinkets, as well as more complex gadgets that can be modified to your liking over rests.  Tinkerers can also repair construct allies. ",icons/tools/hand/screwdriver-flat-steel-black.webp
